PARK_NAME,AREA_HECTARES,Latitude,Longitude
SPEARHEAD POND NORTH,1.3,43.793798,-79.740785
SPEARHEAD POND SOUTH,2.258,43.792437,-79.739731
KAY SNELGROVE VALLEY,8.433,43.699908,-79.813086
MCMICKING PARK,4.006,43.696178,-79.809232
BOB REID PARK AND RECREATIONAL TRAIL SOUTH,0.906,43.664846,-79.728767
KNIGHTSBRIDGE PARK NORTH,0.288,43.719417,-79.715065
KNIGHTSBRIDGE PARK,2.777,43.717554,-79.715743
GEORGE M. LEE PARK,0.82,43.765279,-79.766534
JOSIAH MASON POND,7.337,43.76568,-79.667479
MISSION RIDGE POND,4.093,43.808735,-79.714513
TRAILSIDE POND WEST,1.345,43.75511,-79.725139
TRAILSIDE POND EAST,0.983,43.758674,-79.724852
MOON FAMILY POND,1.304,43.763226,-79.723543
FAIRLAWN POND,0.793,43.769573,-79.725508
ESKER POND,1.118,43.770229,-79.758504
STANLEYS MILLS POND,2.564,43.769349,-79.731772
CARBERRY POND,1.994,43.781743,-79.734378
BLOORE POND,12.535,43.735362,-79.758317
FAIRLAWN PARK,2.893,43.767556,-79.723641
TONY RINOMATO PARK,0.803,43.789413,-79.67684
SCOTTSDALE PARKETTE SOUTH,0.449,43.675779,-79.724179
PROFESSORS LAKE PARK,37.72,43.747445,-79.732587
WILLIAM PORTER PARK,0.103,43.777295,-79.717798
LINDA STEVENS POND,2.993,43.62347,-79.762156
MAJOR GEORGE WRIGHT VALLEY,9.844,43.663916,-79.791633
INTERMODAL CHANNEL NORTH,8.666,43.742768,-79.661798
REGINALD CONOVER POND,1.842,43.77006,-79.689207
BALDWIN POND,1.247,43.769397,-79.686942
SCOTTSDALE PARKETTE,0.096,43.675743,-79.724169
CCA EBENEZER RESOURCE MANAGEMENT TRACT WEST,15.976,43.755545,-79.674955
CARBERRY PARK,17.599,43.799364,-79.741507
SHIELDS VALLEY WAY NORTH EAST,0.282,43.773783,-79.729556
SHIELDS VALLEY WAY NORTH WEST,0.21,43.774653,-79.728545
PROUDFOOT POND,1.557,43.775462,-79.74095
WHITE SPRUCE PARK,22.688,43.730445,-79.774784
EMERICK POND,2.888,43.657651,-79.802681
RED TOP VALLEY,6.968,43.75904,-79.758882
PELEG HOWLAND VALLEY,9.035,43.698611,-79.809754
NATTRESS POND,3.335,43.745136,-79.65945
JOHN G HOOPER POND,2.515,43.774671,-79.668738
MCLAUGHLIN VALLEY,18.08,43.693682,-79.798363
ELCOAT POND,1.119,43.76427,-79.672807
HOMESTEAD POND,4.161,43.687245,-79.794616
KINGSWOOD PARK,2.074,43.700959,-79.765504
FERNFOREST WAY EAST,0.404,43.746773,-79.761202
FERNFOREST WAY WEST,0.912,43.748184,-79.759527
LITTLE FAMILY PARK EAST,0.567,43.753216,-79.75389
LITTLE FAMILY PARK WEST,0.394,43.755051,-79.751903
HAVANNA PARK,0.566,43.781905,-79.696064
MCVEAN PARK SOUTH,0.265,43.788262,-79.709319
DOWNS BUGGY CHANNEL SOUTH,0.66,43.742165,-79.704385
MAYBROOK POND,1.71,43.777081,-79.656743
ANGUS MORRISON PARK,0.763,43.679602,-79.830699
UPPER RIDGE POND,1.324,43.770977,-79.70205
CALVERT PARK,13.218,43.698835,-79.774343
BEIKIE VISTA,0.427,43.77355,-79.676597
ICELAND PARKETTE,0.842,43.724372,-79.829139
UPWOOD PARK,1.809,43.742048,-79.749763
GUY BELL VALLEY,5.095,43.692707,-79.810024
BRUCE BEER PARK,3.03,43.707692,-79.760094
BRAMBLES VALLEY,1.371,43.76241,-79.769578
CASTLEHILL PARK,1.51,43.678382,-79.790266
RHODA BEGLEY PARK,0.398,43.709327,-79.696613
CARABRAM PARK,3.141,43.763008,-79.737836
BAYRIDGE VALLEY,11.389,43.769614,-79.708171
BAYRIDGE POND,2.42,43.769286,-79.711399
INTRIGUE POND,1.686,43.658955,-79.79661
INTRIGUE CHANNEL,1.894,43.658535,-79.79398
GREENBRIAR PARK SOUTH,5.656,43.73716,-79.718929
NASMITH PARK,1.851,43.728637,-79.755776
HEWSON POND,4.258,43.692869,-79.831859
DAMATTA POND,6.234,43.670648,-79.813495
WA BATES POND,2.821,43.691246,-79.816525
WILLIAM HOSTRAWSER VALLEY,11.449,43.770986,-79.672919
CHECKERBERRY PARK,0.384,43.736513,-79.772194
ORENDA PARKETTE,0.167,43.690977,-79.74603
BATSMAN PARK,12.199,43.757653,-79.769283
RAVENSCLIFFE PARKETTE,0.804,43.680904,-79.789853
TRAVELLERS HOME POND,1.937,43.779894,-79.68487
JOE ASHTON VALLEY NORTH,3.387,43.669579,-79.808671
HOWARD STEWART PARK,0.996,43.630631,-79.785983
LITTLE MINNOW PARK,0.374,43.700041,-79.848527
JOE ASHTON POND NORTH,2.754,43.670637,-79.807915
HAYWOOD POND,2.921,43.656882,-79.796564
BAGWELL VALLEY,6.837,43.769373,-79.749122
SHEFFIELD PARK WEST,13.187,43.708334,-79.778354
RAVENSWOOD RAVINE,10.751,43.65346,-79.728714
LAURELCREST PARK NORTH,6.059,43.71183,-79.737582
OSTRANDER PARK SOUTH,1.519,43.649768,-79.807141
"ROSE THEATRE, BRAMPTON",0.82,43.686688,-79.760041
HAVELOCK PARK,1.791,43.659757,-79.719147
TRAILSIDE PARK,7.325,43.756099,-79.72611
JOSEPH LAWSON POND,1.586,43.768182,-79.759521
GUY BELL POND,1.349,43.692609,-79.809008
IRON BLOCK POND,2.836,43.72131,-79.821056
CHANT VALLEY,7.132,43.775111,-79.729203
HALLDORSON PARK,0.899,43.672822,-79.721212
VONTRESS PARK,1.017,43.749014,-79.784042
WINTERFOLD PARK,2.016,43.715473,-79.771619
GROAT CHANNEL,7.923,43.692485,-79.821996
LUCAS HOLTOM CHILDRENS PARK,4.113,43.718945,-79.741477
MAITLAND PARK SOUTH,4.699,43.731585,-79.739533
SHIELDS VALLEY,12.519,43.771174,-79.726941
