PARK_NAME,PARK_STATUS,PARK_TYPE,SUB_TYPE,AREA_HECTARES,EXISTING_PARK_NO,CONSTRUCTED_YEAR,ACCESS_POINTS,COMPKEY,OBJECTID,Shape__Area,Shape__Length
TORBRAM PARK SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,2.493,566,1986,NO ACCESS - DRAINAGE CHANNEL,199582,818,47765.19140625,1520.44625513755
DELTA PARK CHANNEL NORTH,ACTIVE,ENVIRONMENTAL PARKS,CHANNEL,1.223,626,1990,CLARK BLVD,199583,819,23456.50390625,1350.80562452589
VALLEYLANDS 836,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,5.781,836,,,476431,820,110607.12109375,1566.34362970205
FATHER EUGENE OREILLY PARK,ACTIVE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.501,696,2016,"MAPLE SYRUP ST, LEO AUSTIN RD, SISTER OREILLY RD",200763,821,9632.984375,380.430384339008
WILLIAMS PARKWAY OPERATIONS CENTRE,ACTIVE,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,14.192,539,1975,"CHRYSLER DR, WILLIAMS PKY",138810,822,318480.41015625,2321.49276023786
VALLEYBROOK PARK,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,19.579,178,1979,"WILLIAMS PKWY, CENTRE ST N, BARONWOOD CRT",138767,823,374967.0390625,3654.65273258943
CAMP ROBOGI,ACTIVE,CITY PARKS,CITY PARK,10.821,001,1983,,138082,824,206838.640625,2126.27898876389
BRAMPTON TRANSIT CLARK FACILITY,ACTIVE,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTARTION FACILITY,3.495,540,1980,CLARK BLVD,138058,825,67391.89453125,1078.64863226914
CCA EBENEZER RESOURCE MANAGEMENT TRACT,ACTIVE,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,198.619,368,,"GOREWAY DR, QUEEN ST E, MCVEAN DR",138202,826,3811319.09375,12073.9312542095
PRINCESS POINT POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.426,1612,2016,"BUICK BLVD, KEMPSFORD CRES, ",220877,827,65951.34765625,1186.50064701837
COLONEL WILLIAM CLAUS VALLEY SOUTH,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,16.197,378,2003,"PARLIAMENT HILL PL, PALI DR, BLOOMSBURY AVE, DESERTPINE CRT",138101,828,310964.99609375,3883.99804372331
ORNSTOCK POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.723,1614,2017,,220881,829,90184.28125,1953.29351840053
PEEL VILLAGE PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.934,188,1967,"MELVILLE CRES, FERNDALE CRES, PALGRAVE CRES, LOCKTON CRES, ERINDALE CRES, TERRA COTTA CRES, CALEDON CRES, WATSON CRES, ROBERTS CRES, NORVAL CRES",138505,830,75275.640625,4208.43140997399
ECCLES VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,13.281,672,2015,,220854,831,254231.50390625,2451.97309770081
HESP VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,10.179,456,2004,"EDENBROOK HILL DR, RIVER ROCK CRES",138543,832,194944.0078125,3523.20631085595
LAIDLAW PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,0.848,697,2014,"ROYAL WEST DR, UNWIND CRES",200739,833,16208.15625,623.749994823136
WETLAND 535,ACTIVE,ENVIRONMENTAL PARKS,WETLAND,,535,2001,,477050,834,22274.98046875,630.205954042001
SAM RAYSON VALLEY,ACTIVE,ENVIRONMENTAL PARKS,VALLEY,16.571,248,1990,KENNEDY RD,138357,835,316906.8359375,3287.41911457602
RIVERSTONE POND SOUTH,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,,1524,2013,HAWKRIDGE TRAIL,477051,836,10546.12890625,421.652112736733
ORNSTOCK POND EAST,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.653,1605,,BECKENROSE CRT,465508,837,88800.6328125,1626.79783229257
ALLAN KERBEL POND,ACTIVE,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.066,1520,1999,BRICKYARD WAY ,137993,838,20414.6171875,630.765194175891
ALLAN KERBEL PARK,ACTIVE,NEIGHBOURHOOD PARKS,LOCAL,3.332,160,,"BRICKYARD WAY, PRESSED BRICK DR, PRIVATE RD",137992,839,63803.6015625,1528.26237184343
